Date,Category,Company
5/3/16,Drinks,Us
5/4/16,,
5/5/16,,
5/6/16,,
5/7/16,,
5/8/16,,
5/9/16,,
5/10/16,,
5/11/16,,
5/12/16,Dinner,Us
5/13/16,,
5/14/16,,
5/15/16,,
5/16/16,,
5/17/16,,
5/18/16,,
5/19/16,Drinks,Us
5/20/16,,
5/21/16,Party,Friends
5/22/16,,
5/23/16,,
5/24/16,,
5/25/16,,
5/26/16,,
5/27/16,,
5/28/16,,
5/29/16,,
5/30/16,,
5/31/16,,
6/1/16,Movie,Us
6/2/16,,
6/3/16,Dinner,Us
6/4/16,,
6/5/16,Park,Us
6/6/16,,
6/7/16,,
6/8/16,Park,Us
6/9/16,,
6/10/16,Apart,
6/11/16,Apart,
6/12/16,Apart,
6/13/16,,
6/14/16,Dinner,Friends
6/15/16,,
6/16/16,Home,
6/17/16,,
6/18/16,Apart,
6/19/16,Apart,
6/20/16,Apart,
6/21/16,Apart,
6/22/16,Apart,
6/23/16,Apart,
6/24/16,Apart,
6/25/16,Apart,
6/26/16,Apart,
6/27/16,,
6/28/16,,
6/29/16,Theater,Us
6/30/16,,
7/1/16,Travel,Family
7/2/16,Travel,Family
7/3/16,Party,Friends
7/4/16,Party,Friends
7/5/16,Apart,
7/6/16,Apart,
7/7/16,Apart,
7/8/16,Apart,
7/9/16,Apart,
7/10/16,Apart,
7/11/16,Apart,
7/12/16,Apart,
7/13/16,Apart,
7/14/16,Apart,
7/15/16,Apart,
7/16/16,Apart,
7/17/16,Apart,
7/18/16,Apart,
7/19/16,Apart,
7/20/16,Apart,
7/21/16,Apart,
7/22/16,Apart,
7/23/16,Apart,
7/24/16,Apart,
7/25/16,Apart,
7/26/16,Apart,
7/27/16,Apart,
7/28/16,Apart,
7/29/16,Dinner,Us
7/30/16,Party,Friends
7/31/16,Dinner,Friends
8/1/16,,
8/2/16,,
8/3/16,Home,
8/4/16,,
8/5/16,Dinner,Friends
8/6/16,Party,Friends
8/7/16,Beach,Friends
8/8/16,Apart,
8/9/16,Apart,
8/10/16,Apart,
8/11/16,Apart,
8/12/16,Drinks,
8/13/16,Drinks,Friends
8/14/16,,
8/15/16,,
8/16/16,,
8/17/16,,
8/18/16,Dinner,Family
8/19/16,Park,Us
8/20/16,,
8/21/16,,
8/22/16,Apart,
8/23/16,Apart,
8/24/16,Apart,
8/25/16,Apart,
8/26/16,Travel,Friends
8/27/16,Travel,Friends
8/28/16,Travel,Friends
8/29/16,Travel,Friends
8/30/16,Travel,Friends
8/31/16,Travel,Friends
9/1/16,Travel,Friends
9/2/16,Travel,Friends
9/3/16,Travel,Friends
9/4/16,Travel,Friends
9/5/16,,
9/6/16,,
9/7/16,Dinner,Friends
9/8/16,,
9/9/16,Drinks,Friends
9/10/16,Party,Friends
9/11/16,,
9/12/16,Apart,
9/13/16,Apart,
9/14/16,Apart,
9/15/16,Apart,
9/16/16,,
9/17/16,Drinks,Friends
9/18/16,Party,Friends
9/19/16,,
9/20/16,,
9/21/16,Home,
9/22/16,,
9/23/16,Comedy,Us
9/24/16,Wedding,Friends
9/25/16,Dinner,Family
9/26/16,Dinner,Family
9/27/16,Apart,
9/28/16,Apart,
9/29/16,Apart,
9/30/16,Apart,
10/1/16,Party,Friends
10/2/16,Dinner,Friends
10/3/16,,
10/4/16,,
10/5/16,,
10/6/16,,
10/7/16,,
10/8/16,Dinner,Friends
10/9/16,Drinks,Friends
10/10/16,Apart,
10/11/16,Apart,
10/12/16,Apart,
10/13/16,Apart,
10/14/16,,
10/15/16,Party,Friends
10/16/16,,
10/17/16,Dinner,Us
10/18/16,,
10/19/16,,
10/20/16,,
10/21/16,Travel,Family
10/22/16,Travel,Family
10/23/16,Travel,Family
10/24/16,Apart,
10/25/16,Apart,
10/26/16,Apart,
10/27/16,Apart,
10/28/16,Travel,Us
10/29/16,Travel,Us
10/30/16,Travel,Us
10/31/16,,
11/1/16,Theater,Friends
11/2/16,,
11/3/16,Dinner,Us
11/4/16,,
11/5/16,,
11/6/16,Museum,Us
11/7/16,,
11/8/16,,
11/9/16,,
11/10/16,,
11/11/16,,
11/12/16,Party,Friends
11/13/16,,
11/14/16,Apart,
11/15/16,Apart,
11/16/16,Apart,
11/17/16,Apart,
11/18/16,Party,Friends
11/19/16,Dinner,Friends
11/20/16,,
11/21/16,Drinks,Friends
11/22/16,Apart,
11/23/16,Apart,
11/24/16,Apart,
11/25/16,Apart,
11/26/16,Apart,
11/27/16,Apart,
11/28/16,Apart,
11/29/16,Apart,
11/30/16,,
12/1/16,,
12/2/16,Travel,Friends
12/3/16,Travel,Friends
12/4/16,Travel,Friends
12/5/16,Apart,
12/6/16,Apart,
12/7/16,Apart,
12/8/16,Apart,
12/9/16,Apart,
12/10/16,Apart,
12/11/16,Apart,
12/12/16,,
12/13/16,,
12/14/16,,
12/15/16,Dinner,Friends
12/16/16,Party,Friends
12/17/16,Party,Friends
12/18/16,Theater,Friends
12/19/16,,
12/20/16,,
12/21/16,,
12/22/16,Dance,Us
12/23/16,Dinner,Friends
12/24/16,Travel,Family
12/25/16,Travel,Family
12/26/16,Travel,Family
12/27/16,,
12/28/16,Travel,Friends
12/29/16,Travel,Friends
12/30/16,Dinner,Friends
12/31/16,Party,Friends
1/1/17,Spa,Us
1/2/17,Bachelor,Friends
1/3/17,Apart,
1/4/17,Apart,
1/5/17,Apart,
1/6/17,Apart,
1/7/17,Comedy,Friends
1/8/17,Museum,Us
1/9/17,,
1/10/17,,
1/11/17,,
1/12/17,Dance,Us
1/13/17,,
1/14/17,,
1/15/17,Dinner,Friends
1/16/17,Apart,
1/17/17,Apart,
1/18/17,Apart,
1/19/17,Apart,
1/20/17,,
1/21/17,,
1/22/17,,
1/23/17,Bachelor,Friends
